epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1707.66,1.10643,1.1914,1.29596,0.80582,0.54814,0.64009,0.30725,1.81034,1.35497,1.83251,0.005743,0.005743,0.005743
45,1746.18,1.10938,1.17717,1.28943,0.79545,0.56824,0.63053,0.29848,1.88467,1.35278,1.86689,0.005644,0.005644,0.005644
46,1784.89,1.10067,1.17386,1.29191,0.77091,0.58802,0.65593,0.32414,1.78451,1.25692,1.79389,0.005545,0.005545,0.005545
47,1824.22,1.09103,1.14647,1.28427,0.79602,0.58172,0.6472,0.31854,1.72952,1.29015,1.76368,0.005446,0.005446,0.005446
48,1863.18,1.08321,1.13298,1.27578,0.76336,0.59305,0.64375,0.3195,1.76925,1.30748,1.77024,0.005347,0.005347,0.005347
49,1901.93,1.08796,1.15188,1.28115,0.8002,0.59327,0.64836,0.31936,1.78814,1.27034,1.82981,0.005248,0.005248,0.005248
50,1941.06,1.09217,1.13397,1.2807,0.78539,0.57374,0.6306,0.30889,1.80789,1.25468,1.81951,0.005149,0.005149,0.005149
51,1979.5,1.08724,1.14016,1.27694,0.81508,0.59675,0.65705,0.31085,1.85756,1.22461,1.8652,0.00505,0.00505,0.00505
52,2017.47,1.06621,1.1022,1.26878,0.73385,0.58641,0.64217,0.32285,1.76447,1.24229,1.79225,0.004951,0.004951,0.004951
53,2056.44,1.07292,1.10381,1.26999,0.8209,0.58498,0.65794,0.33665,1.7753,1.19068,1.78794,0.004852,0.004852,0.004852
54,2095.15,1.06431,1.09121,1.26368,0.7959,0.59029,0.66713,0.33776,1.73025,1.19535,1.75059,0.004753,0.004753,0.004753
55,2133.11,1.06033,1.09887,1.26849,0.74461,0.62136,0.66343,0.33014,1.78479,1.18672,1.79687,0.004654,0.004654,0.004654
56,2171.57,1.06909,1.09374,1.26451,0.76924,0.59346,0.64999,0.32744,1.79013,1.21542,1.78614,0.004555,0.004555,0.004555
57,2210.03,1.05685,1.09102,1.26007,0.78307,0.60381,0.65672,0.33418,1.7401,1.18295,1.76484,0.004456,0.004456,0.004456
58,2248.35,1.04894,1.07641,1.25239,0.74555,0.59117,0.63209,0.32015,1.7711,1.27488,1.77872,0.004357,0.004357,0.004357
59,2286.68,1.04688,1.06873,1.2463,0.81259,0.59349,0.66361,0.35406,1.6887,1.15878,1.7291,0.004258,0.004258,0.004258
60,2325.3,1.02615,1.04584,1.23976,0.78308,0.60827,0.6565,0.32614,1.78688,1.19144,1.81365,0.004159,0.004159,0.004159
61,2364.26,1.03979,1.05356,1.24499,0.82499,0.58926,0.67306,0.34207,1.74761,1.14922,1.77429,0.00406,0.00406,0.00406
62,2402.7,1.03172,1.0468,1.25004,0.80288,0.60306,0.68324,0.34263,1.75991,1.14881,1.77871,0.003961,0.003961,0.003961
63,2441.08,1.02547,1.03445,1.23465,0.8285,0.58909,0.66778,0.33753,1.77733,1.1484,1.77527,0.003862,0.003862,0.003862
64,2480.78,1.03895,1.0497,1.25095,0.76457,0.6239,0.68535,0.34049,1.73899,1.17682,1.74732,0.003763,0.003763,0.003763
65,2520.11,1.02938,1.0289,1.23751,0.78686,0.62641,0.68542,0.36001,1.66031,1.1294,1.70251,0.003664,0.003664,0.003664
66,2558.4,1.02078,1.02494,1.23711,0.77044,0.61955,0.67109,0.3503,1.70689,1.14655,1.74016,0.003565,0.003565,0.003565
67,2597.2,1.02584,1.02601,1.23488,0.78526,0.63467,0.67616,0.35947,1.63499,1.14928,1.68469,0.003466,0.003466,0.003466
68,2635.86,1.02755,1.00818,1.22739,0.80796,0.61502,0.67607,0.3479,1.73169,1.12203,1.72717,0.003367,0.003367,0.003367
69,2674.25,1.02327,1.00976,1.22942,0.82253,0.60787,0.67456,0.36578,1.64572,1.09769,1.68537,0.003268,0.003268,0.003268
70,2712.76,1.00184,0.98179,1.21847,0.78658,0.64095,0.68141,0.35905,1.66794,1.10892,1.71399,0.003169,0.003169,0.003169
71,2751.42,0.99238,0.9743,1.21448,0.79051,0.64118,0.69142,0.37749,1.62817,1.06941,1.68878,0.00307,0.00307,0.00307
72,2790.44,0.99523,0.97412,1.22022,0.82404,0.62373,0.68956,0.37505,1.6336,1.07962,1.68735,0.002971,0.002971,0.002971
73,2829.23,0.99579,0.9749,1.21725,0.79419,0.64414,0.69291,0.3699,1.63346,1.10027,1.68768,0.002872,0.002872,0.002872
74,2867.83,1.00364,0.97585,1.21522,0.82675,0.62907,0.6992,0.36321,1.66357,1.0888,1.71069,0.002773,0.002773,0.002773
75,2906.05,0.98429,0.95827,1.20742,0.80764,0.61163,0.68182,0.36525,1.62386,1.10064,1.68154,0.002674,0.002674,0.002674
76,2944.39,0.97944,0.95138,1.20463,0.78256,0.64424,0.69567,0.37139,1.62775,1.06776,1.67022,0.002575,0.002575,0.002575
77,2982.59,0.98337,0.95321,1.20604,0.82673,0.6343,0.69503,0.36459,1.6592,1.06815,1.7072,0.002476,0.002476,0.002476
78,3021.67,0.97813,0.94505,1.19728,0.77275,0.64831,0.69668,0.37839,1.58933,1.06969,1.66047,0.002377,0.002377,0.002377
79,3060,0.96517,0.93936,1.1998,0.81747,0.6385,0.70265,0.37784,1.62288,1.06258,1.68556,0.002278,0.002278,0.002278
80,3097.88,0.9582,0.9357,1.1914,0.81701,0.64143,0.69611,0.38541,1.57652,1.04214,1.64543,0.002179,0.002179,0.002179
81,3136.09,0.96087,0.92352,1.1909,0.82497,0.63755,0.69465,0.37886,1.59089,1.04819,1.65308,0.00208,0.00208,0.00208
82,3174.23,0.95454,0.91534,1.18833,0.82108,0.6465,0.69493,0.38457,1.56222,1.05031,1.62276,0.001981,0.001981,0.001981
83,3212.57,0.95167,0.91748,1.18543,0.82423,0.65554,0.70865,0.39051,1.58438,1.01844,1.62925,0.001882,0.001882,0.001882
84,3250.89,0.9643,0.92395,1.19282,0.84206,0.63067,0.70231,0.37714,1.60905,1.03766,1.66334,0.001783,0.001783,0.001783
85,3289.52,0.948,0.89698,1.18205,0.84553,0.64974,0.7107,0.37822,1.63358,1.03132,1.68149,0.001684,0.001684,0.001684
86,3328.35,0.94723,0.90131,1.18292,0.83109,0.65244,0.70856,0.39945,1.55075,1.00797,1.62545,0.001585,0.001585,0.001585
87,3366.87,0.94163,0.89516,1.17919,0.82739,0.6549,0.70661,0.38681,1.57453,1.0172,1.64539,0.001486,0.001486,0.001486
88,3405.36,0.9348,0.88829,1.1757,0.83071,0.65539,0.71329,0.39963,1.51431,0.98514,1.5969,0.001387,0.001387,0.001387
89,3912.58,0.94609,0.89417,1.18158,0.85602,0.61983,0.705,0.391,1.5635,0.99745,1.63076,0.001288,0.001288,0.001288
90,3950.07,0.92857,0.88114,1.17392,0.8287,0.64367,0.7097,0.39882,1.54205,0.99752,1.61387,0.001189,0.001189,0.001189
91,4015.3,0.96288,0.8292,1.19705,0.81397,0.65549,0.71039,0.39937,1.53507,1.0142,1.61393,0.00109,0.00109,0.00109
92,4052.16,0.94721,0.79101,1.18669,0.84274,0.63735,0.7085,0.39189,1.54221,1.00961,1.63165,0.000991,0.000991,0.000991
93,4088.54,0.93105,0.77482,1.17905,0.87689,0.62313,0.72408,0.40852,1.53774,0.9698,1.6117,0.000892,0.000892,0.000892
94,4124.97,0.93268,0.77569,1.17847,0.81349,0.66868,0.72544,0.41255,1.51173,0.96383,1.59404,0.000793,0.000793,0.000793
95,4161.35,0.92648,0.76862,1.17619,0.8444,0.65112,0.71606,0.41322,1.49153,0.96152,1.58078,0.000694,0.000694,0.000694
96,4198.39,0.91535,0.75777,1.1656,0.87938,0.63675,0.72105,0.41183,1.48848,0.96128,1.57067,0.000595,0.000595,0.000595
97,4235.35,0.91069,0.75478,1.16134,0.85478,0.6479,0.72288,0.41215,1.49656,0.95659,1.58812,0.000496,0.000496,0.000496
98,4271.97,0.91204,0.75026,1.16434,0.87755,0.63946,0.72595,0.40543,1.53104,0.95916,1.61925,0.000397,0.000397,0.000397
99,4308.36,0.90494,0.75006,1.16339,0.8775,0.63842,0.72823,0.4178,1.48942,0.94231,1.57213,0.000298,0.000298,0.000298
100,4345.16,0.90092,0.74162,1.15935,0.89009,0.63044,0.7279,0.41351,1.50452,0.94683,1.58941,0.000199,0.000199,0.000199
